Calculated results: Calc 1: Label ratio = X / Y where X = LANCE Eu/APC Dual 662(1) channel 1 window 1,Y = LANCE Eu/APC Dual 662(1) channel 2 window 1
	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	
A	0.1359	0.1344	0.1367	0.1711	0.1997	0.2532	1.0868	0.4722	0.6525	1.0238	1.1842	1.1551	1.2364	1.1458	1.1277	1.1960	1.1568	1.1757	1.1640	1.1817	1.1072	1.3492	1.1136	0.6285	
B	0.1169	0.1105	0.1223	0.1207	0.1151	0.1631	0.2239	0.2765	0.3694	0.5214	0.7600	0.9342	0.6331	1.1737	1.1193	1.1342	1.0849	1.1492	1.1587	1.0925	1.1879	1.0881	1.1432	0.5168	
C	0.1239	0.1079	0.1367	0.1099	0.1019	0.1276	0.1688	0.2312	0.2433	0.3999	0.4470	0.6384	0.9697	1.0091	1.1017	1.1640	1.0848	1.1990	1.1662	1.2200	1.0954	1.1754	1.2237	0.5023	
D	0.1250	0.1151	0.1337	0.1332	0.1283	0.1331	0.1484	0.1680	0.2437	0.2652	0.7055	0.4079	0.9415	0.8202	1.0211	0.9746	1.0721	1.1399	1.1283	1.0980	1.0816	1.1408	1.1422	0.5493	
E	0.1254	0.1458	0.1322	0.1752	0.1970	0.2958	0.3257	0.4736	0.6437	0.8507	0.9660	1.1586	1.1091	1.0914	1.2628	1.1523	1.1706	1.2385	1.1239	1.2162	1.0740	1.2719	1.1885	0.7851	
F	0.1293	0.1282	0.1364	0.1602	0.1596	0.2976	0.3263	0.3264	0.2885	0.7867	1.0972	1.1763	1.2233	1.1972	1.1353	1.1870	1.1671	1.2141	1.1580	1.1622	1.1219	1.2150	1.1999	0.9329	
G	0.1276	0.1094	0.1448	0.1215	0.1463	0.1567	0.1581	0.2268	0.2250	0.3021	0.4971	0.4719	0.8329	1.1694	1.1159	1.1222	0.9796	1.2025	1.0725	1.1711	0.5189	1.1956	1.1939	0.5864	
H	0.1385	0.1312	0.1426	0.1403	0.1327	0.1236	0.1487	0.1817	0.2246	0.4824	0.3241	0.6272	0.7055	0.7722	1.0135	0.9816	0.9865	1.0978	1.1512	1.1858	1.1079	1.1258	1.0336	1.0167	
I	0.1430	0.1914	0.3820	0.4931	0.6446	0.6928	1.1345	1.0826	1.2170	1.1722	1.2328	1.1851	1.2347	1.2802	1.2930	1.2547	1.2199	1.2762	1.3253	1.2131	1.2058	1.2083	1.3391	0.7282	
J	0.1416	0.1449	0.1462	0.2026	0.1769	0.2902	0.3420	0.4205	1.0929	0.9419	1.1010	1.1235	1.1798	1.2316	1.3295	1.2185	1.2334	1.2334	1.2601	1.2186	1.2199	1.3132	1.2066	0.6036	
K	0.1258	0.1272	0.1273	0.1427	0.1521	0.1801	0.2150	0.2048	0.4570	0.8369	0.8213	0.9382	1.1161	1.3357	1.1791	1.2851	1.2243	1.2745	1.2512	1.2563	1.2517	1.3038	1.2003	0.7311	
L	0.1250	0.1420	0.1116	0.1124	0.1072	0.1215	0.1485	0.1799	0.2234	0.2793	0.2645	0.4564	0.6049	0.8653	1.0278	1.0520	1.1065	1.1034	1.0338	1.1726	1.0442	1.0823	1.2577	0.4898	
M	0.1540	0.2040	0.2390	0.5832	0.3211	0.5170	0.9979	1.1404	1.2335	1.2829	1.2564	1.1738	1.2519	1.2220	1.2861	1.1812	1.1590	1.2126	1.2225	1.1873	1.1813	1.2089	1.2980	0.6578	
N	0.1419	0.1498	0.1406	0.1518	0.1921	0.3238	0.3619	0.9310	1.0836	0.9469	1.0615	1.1478	1.1630	1.2172	1.2020	1.3255	1.2433	1.2324	1.2457	1.2493	1.2931	1.2024	1.2292	0.8652	
O	0.1301	0.1398	0.1214	0.1420	0.1465	0.1812	0.4077	0.2461	0.5262	0.4583	0.6031	0.8614	0.8977	1.0488	1.2659	1.2698	1.2430	1.1886	1.1397	1.2099	1.2304	1.2103	1.2622	0.7247	
P	0.1382	0.1257	0.1584	0.1258	0.1486	0.1438	0.1453	0.1860	0.3421	0.2686	0.5836	0.3737	0.9237	0.8175	1.1825	1.0149	1.2313	1.0939	1.2836	1.1948	1.2749	0.8246	1.2264	0.8590	

Results for LANCE Eu/APC Dual 662(1) - channel 1 window 1 (Counts)
	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	
A	493	422	432	552	637	859	4119	1552	2255	4044	4564	4380	4692	4573	4037	4814	4398	4644	4365	4716	4111	5405	4186	2223	
B	350	368	352	394	352	516	683	871	1089	1781	2590	3222	1938	4351	3940	4066	3845	4168	4366	3968	4552	3693	4430	1569	
C	365	352	371	375	304	411	496	687	730	1333	1413	2014	3485	3553	3824	4060	4030	4248	4476	3904	4203	3927	4874	1524	
D	404	352	404	417	414	396	488	500	778	817	2530	1247	3314	2700	3671	3448	4105	3968	4380	3922	4069	3946	4168	1717	
E	432	386	430	469	640	856	1074	1409	2085	2928	3379	4092	4136	4251	4325	4653	4418	4751	4182	4747	4007	5145	4490	2915	
F	428	378	445	478	506	869	1049	1011	921	2607	3724	4343	4301	4371	4087	4462	4086	4622	4060	4513	3939	4752	4142	3464	
G	379	383	414	419	435	550	507	739	700	992	1616	1528	2791	4446	3600	4095	3316	4454	4024	4100	4355	4254	4366	1832	
H	393	433	422	450	393	397	455	605	669	1673	1072	2283	2463	2559	3902	3631	3801	3860	4638	4352	4445	3839	4152	3476	
I	447	580	1191	1573	2042	2280	3763	3918	4711	4458	4470	4572	4488	4761	4965	4838	4766	4768	4921	4589	4693	4508	4917	2481	
J	475	385	465	554	583	810	1136	1304	4092	3353	4307	4121	4233	4408	4701	4512	4550	4598	4413	4783	4394	5023	4193	2117	
K	410	415	400	485	469	606	660	684	1467	2976	2743	3583	3914	5200	4272	4972	4426	5037	4438	4999	4560	5146	4260	2586	
L	421	419	354	354	350	384	485	541	710	926	891	1538	2189	3230	3555	4248	3845	4258	3671	4524	3731	4261	4407	1723	
M	444	641	665	1959	926	1715	3268	4158	4253	4866	4483	4215	4513	4689	4495	4497	4387	4380	4791	4240	4594	4328	4835	2061	
N	399	475	405	469	557	990	1067	3184	3822	3389	4056	4178	4395	4674	4481	4907	4614	4407	4873	4305	5211	4152	4950	2714	
O	415	409	384	420	461	558	1342	719	1836	1373	2042	2902	3265	3958	4703	4594	4768	4349	4551	4318	4971	4305	4795	2411	
P	449	346	519	375	500	435	489	560	1164	845	2094	1231	3440	2893	4620	3886	4829	4522	4997	4631	5194	3281	4713	3441	

Results for LANCE Eu/APC Dual 662(1) - channel 2 window 1 (Counts)
	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	
A	3629	3139	3161	3227	3189	3392	3790	3287	3456	3950	3854	3792	3795	3991	3580	4025	3802	3950	3750	3991	3713	4006	3759	3537	
B	2993	3329	2878	3264	3059	3163	3050	3150	2948	3416	3408	3449	3061	3707	3520	3585	3544	3627	3768	3632	3832	3394	3875	3036	
C	2946	3262	2713	3413	2982	3222	2939	2972	3000	3333	3161	3155	3594	3521	3471	3488	3715	3543	3838	3200	3837	3341	3983	3034	
D	3232	3059	3022	3130	3226	2975	3288	2976	3193	3081	3586	3057	3520	3292	3595	3538	3829	3481	3882	3572	3762	3459	3649	3126	
E	3445	2647	3253	2677	3249	2894	3298	2975	3239	3442	3498	3532	3729	3895	3425	4038	3774	3836	3721	3903	3731	4045	3778	3713	
F	3311	2948	3263	2983	3170	2920	3215	3097	3192	3314	3394	3692	3516	3651	3600	3759	3501	3807	3506	3883	3511	3911	3452	3713	
G	2970	3502	2860	3449	2973	3511	3206	3259	3111	3284	3251	3238	3351	3802	3226	3649	3385	3704	3752	3501	8392	3558	3657	3124	
H	2838	3300	2960	3208	2962	3212	3059	3330	2979	3468	3308	3640	3491	3314	3850	3699	3853	3516	4029	3670	4012	3410	4017	3419	
I	3125	3030	3118	3190	3168	3291	3317	3619	3871	3803	3626	3858	3635	3719	3840	3856	3907	3736	3713	3783	3892	3731	3672	3407	
J	3354	2657	3181	2735	3296	2791	3322	3101	3744	3560	3912	3668	3588	3579	3536	3703	3689	3728	3502	3925	3602	3825	3475	3507	
K	3260	3262	3141	3399	3084	3365	3070	3340	3210	3556	3340	3819	3507	3893	3623	3869	3615	3952	3547	3979	3643	3947	3549	3537	
L	3367	2950	3171	3150	3264	3161	3265	3008	3178	3316	3368	3370	3619	3733	3459	4038	3475	3859	3551	3858	3573	3937	3504	3518	
M	2883	3142	2783	3359	2884	3317	3275	3646	3448	3793	3568	3591	3605	3837	3495	3807	3785	3612	3919	3571	3889	3580	3725	3133	
N	2812	3170	2880	3090	2900	3057	2948	3420	3527	3579	3821	3640	3779	3840	3728	3702	3711	3576	3912	3446	4030	3453	4027	3137	
