Calculated results: Calc 1: Label ratio = X / Y where X = LANCE Eu/APC Dual 662(1) channel 1 window 1,Y = LANCE Eu/APC Dual 662(1) channel 2 window 1
	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	
A																									
B																									
C																									
D																									
E	0.1035	0.1105	0.1072	0.1088	0.1217	0.1600	0.3742	0.6296	1.1128	1.0186	1.3102	1.2084	1.1862	1.1148	0.6491	0.3232	0.1774	0.1312	0.1062	0.1190	0.1292	0.1218	0.1380	0.1357	
F	0.1229	0.1273	0.1308	0.1313	0.1239	0.1309	0.1142	0.1307	0.1880	0.3021	0.3297	0.5887	0.3825	0.4891	0.7478	0.9737	0.9815	1.1552	1.1746	1.1511	1.1738	1.1928	1.1458	1.1994	
G																									
H																									
I																									
J																									
K																									
L																									
M																									
N																									
O																									
P																									

Results for LANCE Eu/APC Dual 662(1) - channel 1 window 1 (Counts)
	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	
A																									
B																									
C																									
D																									
E	323	358	354	379	413	516	1251	2079	4361	3669	5077	4847	4663	3972	2288	1027	603	415	376	369	431	377	491	414	
F	392	374	415	391	408	415	377	387	590	969	1061	1822	1213	1570	2583	3594	3452	4361	4319	4350	4201	4585	3851	4445	
G																									
H																									
I																									
J																									
K																									
L																									
M																									
N																									
O																									
P																									

Results for LANCE Eu/APC Dual 662(1) - channel 2 window 1 (Counts)
	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	
A																									
B																									
C																									
D																									
E	3121	3241	3302	3485	3393	3226	3343	3302	3919	3602	3875	4011	3931	3563	3525	3178	3400	3163	3542	3101	3335	3094	3557	3050	
F	3189	2937	3172	2979	3294	3171	3301	2961	3138	3208	3218	3095	3171	3210	3454	3691	3517	3775	3677	3779	3579	3844	3361	3706	
G																									
H																									
I																									
J																									
K																									
L																									
M																									
N																									
O																									
P																									


Exported with EnVision Workstation version 1.12
